TOTAL           105437
density              N5                   2 
135                  N1                   2 
adjusts              A2.1+                2 
in_the_first_place   Z4                   2 
10/10                N5                   2 
sick                 B2-                  2 
3-4                  N1                   2 
hiccup               B1                   2 
firmware             G2.1                 2 
scrolling            Q1.2                 2 
put_into             M2                   2 
becomes              A2.1+                2 
attack               E3-                  2 
clutter              O2                   2 
if/when              Z99                  2 
avid                 X5.2+                2 
stick_to             A2.1-                2 
i3                   Z99                  2 
fooled               G2.2-                2 
for_some_time        T1.3+                2 
64gb                 Z99                  2 
encryption           Q1.1                 2 
encrypt              G2.1                 2 
instance             A4.1                 2 
watched              X3.4                 2 
tips                 N5.1-                2 
corner               O4.4                 2 
progressively        T2++                 2 
down_to              X6+                  2 
streaks              N5                   2 
looked_into          X2.4                 2 
refine               A1.1.1               2 
painstakingly        A1.3+                2 
was_back             M6                   2 
pound                M7                   2 
reached              M1                   2 
projects             A1.1.1               2 
obvious              A11.2+               2 
m.2                  I1                   2 
google-able          Z99                  2 
non-chrome           Z99                  2 
BSD                  Z99                  2 
assume               X2.1                 2 
internals            M6                   2 
get_rid              A9-                  2 
dock                 M4                   2 
turned_on            A1.1.1               2 
@                    Z99                  2 
3.4ghz               Z99                  2 
cores                O2                   2 
2g                   Z99                  2 
whine                X3.2                 2 
shell                L2                   2 
descriptions         Q2.2                 2 
dependent            A2.2                 2 
eliminates           A9-                  2 
in_favor_of          S8+                  2 
upside               M6                   2 
concerns             E6-                  2 
procedure            X4.2                 2 
lock                 O2                   2 
casually             S1.2.1+              2 
viable               A7+                  2 
creation             A1.1.1               2 
over_three           T3                   2 
Hawaii               Z2                   2 
remarkable           A6.2-                2 
apart_from           A1.8-                2 
package              A1.1.1               2 
slow_down            N3.8-                2 
flimsiness           O4.2-                2 
loads                N5+                  2 
readable             X5.2+                2 
vibrant              X5.2+                2 
thank_goodness       Z4                   2 
cooler               O4.6--               2 
awaiting             X2.6+                2 
move                 M1                   2 
whatsoever           Z5                   2 
a1278                Z99                  2 
weighed              N3.5                 2 
critical             Q2.2                 2 
dj                   Q4.3                 2 
cd                   K3                   2 
13.3                 N1                   2 
1280x800             N1                   2 
conflicted           A6.1-                2 
for_the_most_part    A13.2                2 
reflections          X3.4                 2 
lights               W2                   2 
reducing             N5-                  2 
contacts             S1.1.1               2 
suite                H2                   2 
tightly              N3.2-                2 
choosing             X7+                  2 
edition              Q4                   2 
eliminate            A9-                  2 
speech               Q2.1                 2 
reporting            Q2.2                 2 
honest               A5.2+                2 
send_back            M2                   2 
thoughts             X4.1                 2 
5-6                  N1                   2 
hrs                  Z3                   2 
strengths            S1.2.5+              2 
to_start_with        N4                   2 
performer            K4                   2 
crystal_clear        A10+                 2 
grip                 A1.1.1               2 
sticky               O4.5                 2 
unimpressive         O4.2-                2 
refreshed            B2+                  2 
frankly              A5.2+                2 
airs                 O1.3                 2 
Intel_HD             Z1                   2 
lightning-fast       Z99                  2 
1280                 N1                   2 
back-lit             Z99                  2 
pixelated            Z99                  2 
flexibility          O4.5                 2 
produced             A2.2                 2 
accommodate          H4                   2 
mechanics            S2                   2 
dinosaur             L2                   2 
roughly              A13.4                2 
workload             I3.1                 2 
tremendously         A13.3                2 
storage_space        A9+                  2 
mid_2012             T3                   2 
ddr3l                Z99                  2 
SDRAM                Z99                  2 
750gb                Z99                  2 
5400                 N1                   2 
irrelevant           A1.2-                2 
et_cetera            Z4                   2 
season               T1.3                 2 
drove                M3                   2 
insanely             S1.2.6-              2 
backround            Z99                  2 
multi-touch          Z99                  2 
like_i_said          Z4                   2 
charm                O4.2+                2 
statements           Q2.1                 2 
demanding            A12-                 2 
intensive            N5+                  2 
stylish              O4.2+                2 
vents                O2                   2 
hinges               O2                   2 
three_times          N6+                  2 
ventilation          O2                   2 
competing            S7.3+                2 
worth                Z3                   2 
for_a_month          T1.3                 2 
start_off            T2+                  2 
screwed              A1.1.1               2 
firm                 I2.1                 2 
neat                 O4.2+                2 
magical              S9                   2 
chipset              Z99                  2 
sweat                B1                   2 
at_times             N6                   2 
harddrive            Z99                  2 
perspective          X4.1                 2 
dissapointed         Z99                  2 
mac_book             Q4.1                 2 
512gb                Z99                  2 
retina.              B1                   2 
savings              I1.1                 2 
sticking_with        A2.1-                2 
6gb/s                Z99                  2 
ct256m4ssd2          Z99                  2 
ddr3                 Z99                  2 
build                H1                   2 
be_back              M6                   2 
exclusively          A14                  2 
conveniently         A12+                 2 
inconvenient         A12-                 2 
me.                  Z8                   2 
doubled              N5+                  2 
motions              M1                   2 
now                  Z4                   2 
hard_work            A12-                 2 
aesthetics           O4.2+                2 
first_of_all         N4                   2 
miscellaneous        A4.2-                2 
effective            X9.2+                2 
come_in_handy        A1.5.2+              2 
all_my_life          T1.3+                2 
tho                  Z5                   2 
in_time              N3.8                 2 
production           A1.1.1               2 
bucks                I1                   2 
will                 X7+                  2 
replaceable          A2.1+                2 
taken_to             E2+                  2 
bounce               M1                   2 
parties              S1.1.3+              2 
fix                  A12-                 2 
secure               A7+                  2 
iphones              Z99                  2 
downgrade            A5.1-                2 
thank_god            Z4                   2 
damaged              A1.1.2               2 
elegant              O4.2+                2 
MagSafe_2            Z2                   2 
Mini_Displayport     Z1                   2 
displayport          Z99                  2 
filevault            Z99                  2 
transferring         M6                   2 
rescue               S8+                  2 
warranties           A7+                  2 
geniuses             X9.1+                2 
novice               X9.1-                2 
phillips             Z1                   2 
pry                  X2.4                 2 
toolkit              O2                   2 
modifications        A2.1+                2 
4+                   Z99                  2 
eg                   A4.1                 2 
once_a_day           N6                   2 
refuses              Q2.2                 2 
cursor               S8+                  2 
bits                 N5-                  2 
crashing             A1.1.2               2 
for_ages             T1.3+                2 
80s                  T1.3                 2 
partial              N5.1-                2 
clever               X9.1+                2 
remains              T2++                 2 
novelty              T3---                2 
'm_about_to          T1.1.3               2 
lightly              N6-                  2 
$150                 Z99                  2 
sources              T2+                  2 
chore                A1.1.1               2 
discovered           A10+                 2 
work-around          Z99                  2 
faxes                Q1.3                 2 
specially            A4.2+                2 
fax                  Q1.3                 2 
piece_of_paper       Q1.2                 2 
therefore            Z5                   2 
bend                 O4.4                 2 
macs                 B5                   2 
fits                 B2-                  2 
time                 Z3                   2 
met                  S3.1                 2 
turn_over            M2                   2 
session              T1.3                 2 
bringing             M2                   2 
reliability          A5.1+                2 
MBP_13               Z2                   2 
detracts             A5.1-                2 
lowering             M2                   2 
sleeker              O4.2+                2 
look_for             X2.4                 2 
$                    Z99                  2 
1984                 N1                   2 
continuous           T2++                 2 
chinese              Z2                   2 
unhappy              E4.1-                2 
tightened            A1.7+                2 
started_up           T2+                  2 
going_back           M1                   2 
years_ago            T1.1.1               2 
XP                   Z99                  2 
debacle              X9.2-                2 
turned_to            M1                   2 
park                 M7                   2 
win8                 Z99                  2 
rock_solid           O4.5                 2 
tuned                K2                   2 
recharging           O3                   2 
killing              L1-                  2 
batteries            O3                   2 
glasses              O2                   2 
voice                Q2.1                 2 
complains            Q2.2                 2 
coupon               Q1.2                 2 
13-inch              Z99                  2 
lineup               K5.1                 2 
blazing              O4.6+                2 
hesitation           A7-                  2 
reach                N3.3                 2 
attempts             X8+                  2 
l                    Z5                   2 
o                    Z5                   2 
w                    Z5                   2 
guitar               K2                   2 
booth                H1                   2 
hours_and_hours      T1.3                 2 
take_off             X9.2+                2 
T                    Z5                   2 
monies               I1                   2 
positively           A7+                  2 
Bill_Gates           Z1                   2 
Windows_3.1          Z2                   2 
Windows_98           Z2                   2 
Windows_XP           Z1                   2 
confirmation         A7+                  2 
$1,000               Z99                  2 
stationary           M8                   2 
cassette_tapes       K3                   2 
commercially-produced Z99                  2 
VHS                  Z3                   2 
technological        Y1                   2 
craze                X5.2+                2 
ago                  T1.1.1               2 
lifetime             T1.3                 2 
drawer               H5                   2 
smartphones          Z99                  2 
inch                 M1                   2 
once_or_twice        N6-                  2 
planet               W1                   2 
every_single         N5.1+                2 
visited              S1.1.1               2 
squad                G3                   2 
country              G1.1                 2 
stating              Q2.1                 2 
shock                E5-                  2 
Jay                  Z1                   2 
brokers              I2.2                 2 
so-so                A5.1                 2 
cycles               M3                   2 
geeky                Z99                  2 
#1                   I1                   2 
mousepad             L2                   2 
whoever              Z8                   2 
responsible          A2.2                 2 
talked               Q2.1                 2 
convince             A7+                  2 
3_year_old           T3                   2 
lighting             W2                   2 
X.                   Z5                   2 
considerable         N5+                  2 
aesthetically        O4.2+                2 
thru                 Z5                   2 
workflow             A1.1.1               2 
trash                O4.2-                2 
sticker              Q1.2                 2 
severely             A5.1-                2 
adds                 N5+                  2 
come_out             M1                   2 
3+                   Z99                  2 
1_star               A5.1                 2 
more                 Z3                   2 
dancing              K1                   2 
joined               A2.2                 2 
3-beep               Z99                  2 
pause                T2-                  2 
promises             S6+                  2 
endless              T2+++                2 
2008                 N1                   2 
bothers              E6-                  2 
sooner               T1.1.3               2 
chart                Q1.2                 2 
move_into            T2+                  2 
solutions            X4.2                 2 
MacFan               Z99                  2 
thorough             N5.1+                2 
bars                 F2                   2 
top_notch            A5.1+                2 
22                   N1                   2 
un32eh4003           Z99                  2 
$247.99              Z99                  2 
bell                 O2                   2 
hookups              A2.2                 2 
consists             A1.8+                2 
cartoons             Q4.3                 2 
instances            A4.1                 2 
sounded              X3.2                 2 
hollow               O4.1                 2 
gave_up              T2-                  2 
maxed                N5.1+                2 
through              M6                   2 
adjusted             A2.1+                2 
5_star               A5.1                 2 
blur                 A10-                 2 
HD_DVR               Z1                   2 
background_music     K2                   2 
$35                  Z99                  2 
theres               Z5                   2 
refuse               Q2.2                 2 
32_inch              N3.3                 2 
yours                Z8                   2 
pricing              I1.3                 2 
Saturday             T1.3                 2 
holidays             K1                   2 
Sunday               T1.3                 2 
un32eh               Z99                  2 
4003                 N1                   2 
to_say_the_least     A13.7                2 
connections          A2.2                 2 
audiophile           X3.2                 2 
delay                T4-                  2 
taking_advantage_of  S8+                  2 
22a450               Z99                  2 
built-in_speakers    Q3                   2 
neighbors            H3                   2 
look_great           A5.1+                2 
exterior             M6                   2 
consumption          A1.5.1               2 
moon                 W1                   2 
breakfast            F1                   2 
fridge               O4.6-                2 
wobbly               O4.5                 2 
jacks                A1.1.1               2 
un32eh5000           Z99                  2 
value.               A11.1+               2 
savvy                X2.2+                2 
comes_from           M6                   2 
SDTV                 Z99                  2 
granted              A9-                  2 
sound_system         K3                   2 
on_display           A10+                 2 
ours                 Z8                   2 
assumed              X2.1                 2 
antenna              B1                   2 
boxes                O2                   2 
Re                   Z5                   2 
channel              W3                   2 
cuts                 A1.1.1               2 
too_good_to_be_true  A7-                  2 
looks_fantastic      A5.1+                2 
attaching            A1.7+                2 
history              T1.1.1               2 
phone_calls          Q1.3                 2 
$99.00               Z99                  2 
awhile               T1.3                 2 
coverage             Q4                   2 
mount                T2+                  2 
definition           Q2.2                 2 
placed               M2                   2 
#3                   I1                   2 
cable                Q1.3                 2 
showing              A10+                 2 
gear                 O2                   2 
yay                  Z2                   2 
negatives            C1                   2 
Philips              Z3                   2 
layer                O2                   2 
Phillips_DVD         Z1                   2 
stretched            N3.6                 2 
16/9                 N5                   2 
reflect              A10+                 2 
skipping             M1                   2 
perfection           A5.1+++              2 
sound                O4.1                 2 
apply                Q2.2                 2 
the_other_way        S3.2                 2 
hz                   N3.8                 2 
db                   A4.1                 2 
dial                 Q1.3                 2 
generate             A2.2                 2 
pressure             N3.5                 2 
effort               X8+                  2 
earphones            K3                   2 
watt                 N3.1                 2 
treble               K2                   2 
appropriate          A1.2+                2 
Altec                Z99                  2 
Lansings             I1.1                 2 
eq                   Z3                   2 
boomy                Z99                  2 
impractical          A1.6                 2 
non                  Z6                   2 
bassy                Z99                  2 
that_was_it          Z4                   2 
certifications       Q2.2                 2 
Bose                 A4.1                 2 
distinguish          A6.1-                2 
summer               T1.3                 2 
projection           A10+                 2 
once_in_a_while      N6-                  2 
tad                  N5-                  2 
outlets              Q2.1                 2 
in_case_of           A1.3+                2 
rain                 W4                   2 
powered_speakers     Q3                   2 
da                   Z4                   2 
dear                 E2+                  2 
secret               A10-                 2 
straining            A12-                 2 
rivals               S7.3+                2 
level                O4.4                 2 
awsome               Z99                  2 
brand                Q1.1                 2 
requested            Q2.2                 2 
t-shirt              B5                   2 
behavior             S1.1.1               2 
script               K4                   2 
pima                 Z2                   2 
fit                  B2-                  2 
valley               W3                   2 
Chris                Z1                   2 
said                 Q1.1                 2 
pile                 N5+                  2 
taught               P1                   2 
progression          A2.1+                2 
coming_off           A10-                 2 
z                    Z5                   2 
labels               Q1.2                 2 
trendy               O4.2+                2 
ship                 M4                   2 
CS                   Z5                   2 
strap                O2                   2 
Dolce                Z99                  2 
2_star               A5.1                 2 
rocks                O2                   2 
wives                S4                   2 
priceless            I1.3+                2 
trim                 B4                   2 
bags                 B5                   2 
leather              O1.1                 2 
terrific             A5.1+                2 
giveaway             I1.3---              2 
Michele              Z1                   2 
thrift               A1.3+                2 
had_no_idea          X2.2-                2 
do_you_think         Z4                   2 
lilac                O4.3                 2 
hawt                 Z99                  2 
ha                   Z4                   2 
bra                  B5                   2 
long_while           T1.3+                2 
look_nice            O4.2+                2 
in_my_mind           Z4                   2 
multidirectional     Z99                  2 
ironed               B4                   2 
**the                Z99                  2 
reel                 O2                   2 
wrinkles             O4.4                 2 
*steam               Z99                  2 
switch_on            O3                   2 
glance               X3.4                 2 
1st                  N4                   2 
pants                B5                   2 
starch               O1                   2 
heats                O4.6+                2 
produces             A2.2                 2 
pointed              A10+                 2 
ni-w810cs            Z99                  2 
ceramic              O1.1                 2 
picky                X7+                  2 
effectively          A5.4+                2 
live_up_to           X9.2+                2 
is_up                T2-                  2 
expectation          X2.6+                2 
glides               M1                   2 
time_saver           N3.8+                2 
advertising          I2.2                 2 
steams               O1.3                 2 
distilled            O4.1                 2 
knocked_off          T2-                  2 
ironing_board        B4                   2 
stainless_steel      O1.1                 2 
wrinkels             Z99                  2 
fabrics              B5                   2 
coming_back          M1                   2 
adjustable           A2.1+                2 
hanging              M2                   2 
features             A10+                 2 
storing              A9+                  2 
calcium              O1                   2 
stove                O2                   2 
swear                Q2.2                 2 
reviewing            X2.4                 2 
leakage              A1.7-                2 
ground_coffee        F2                   2 
dressing             B5                   2 
chunk                N5                   2 
shredded             O4.1                 2 
olive                O4.3                 2 
smoother             O4.5                 2 
coffee_beans         F2                   2 
burning_up           O4.6+                2 
gasket               O2                   2 
berries              L3                   2 
seeds                L3                   2 
bread                F1                   2 
batches              N5                   2 
pint                 N3.4                 2 
jars                 O2                   2 
blends               A2.1+                2 
'm_back              M6                   2 
bushings             O4.4                 2 
hummus               F1                   2 
cold                 O4.6-                2 
lids                 O2                   2 
safe                 O2                   2 
clean-up             B4                   2 
pouring              A1.1.1               2 
hint                 Q2.2                 2 
straw                L3                   2 
pop                  K2                   2 
meals                F1                   2 
commercial           I2.1                 2 
dressings            B5                   2 
eggs                 L2                   2 
omlets               Z99                  2 
foods                F1                   2 
chopped              O4.1                 2 
lubricated           Z99                  2 
cool_down            E3+                  2 
shopping_around      I2.2                 2 
diced                A1.1.1               2 
crushing             A1.1.2               2 
shaking              M2                   2 
veggies              F1                   2 
came_home            M1                   2 
blueberries          F2                   2 
tomatoes             F1                   2 
dangerous            A15-                 2 
carrots              F1                   2 
dessert              F1                   2 
homemade             O4.1                 2 
fits_into            A1.8+                2 
sits                 M8                   2 
butt                 O2                   2 
serve                K5.1                 2 
every_morning        N6+                  2 
next_morning         T1.1.3               2 
BPA                  Z99                  2 
whirl                M1                   2 
lip                  B1                   2 
mixing_up            X2.5-                2 
adhesive             O1                   2 
left_behind          M2                   2 
tricky               A12-                 2 
moment               T1.2                 2 
God                  S9                   2 
fit_into             A1.8+                2 
force                E3-                  2 
misleading           A5.2-                2 
letdown              E4.2-                2 
crushed              A1.1.2               2 
coming               M1                   2 
several_years_ago    T1.1.1               2 
puree                O1.2                 2 
popular              E2+                  2 
Hamilton_beach       Z2                   2 
odor                 A9+                  2 
$15                  Z99                  2 
twist                M2                   2 
harder               O4.5                 2 
20-30                N1                   2 
a_couple_of_times    N6                   2 
continuously         T2++                 2 
lazy                 X5.2-                2 
$20                  Z99                  2 
each_time            N6+                  2 
3/4                  N1                   2 
mixture              O1.1                 2 
smoking              F3                   2 
motors               O2                   2 
secs                 T1.3                 2 
once_again           Z4                   2 
tbs                  B2-                  2 
nectar               L3                   2 
cut_up               A1.1.1               2 
signature            Q1.2                 2 
gourmet              F1                   2 
once_a_month         N6                   2 
working_out          N2                   2 
ice_cream            F1                   2 
by_itself            S5-                  2 
consistency          O4.5                 2 
flaxseed             L3                   2 
i_suppose            Z4                   2 
creamy               O4.3                 2 
locking              A1.7+                2 
purple               O4.3                 2 
rose                 L3                   2 
watches              T1                   2 
engineering_degree   Y1                   2 
high_class           A5.1++               2 
Malaysia             Z2                   2 
bt                   Z3                   2 
x2                   Z99                  2 
shit                 B1                   2 
viber                Z99                  2 
official             G1.1                 2 
150                  N1                   2 
sun                  W1                   2 
qulaity              Z99                  2 
loud_speaker         Q3                   2 
main                 Z3                   2 
Qualcomm             Z99                  2 
Mediatek             Z99                  2 
lags                 G2.1-                2 
hangs                M2                   2 
think_twice          A7-                  2 
quad                 S2                   2 
kitkat               Z99                  2 
reserved             A9+                  2 
a5                   Q1.2                 2 
hidpi                Z99                  2 
air2                 Z99                  2 
owner                A9+                  2 
optimozed            Z99                  2 
---                  Z99                  2 
5k                   I1                   2 
5200                 N1                   2 
plethora             N5+                  2 
isnt                 Z99                  2 
unknown              X2.2-                2 
english              Z1                   2 
r                    Z5                   2 
let_down             M2                   2 
charging             I1.3                 2 
wallpaper            H5                   2 
contact              S1.1.1               2 
mega                 N3.2+                2 
hoped                X2.6+                2 
haters               S2                   2 
picking              X7+                  2 
dummy                A5.4-                2 
bogey                M3                   2 
whippy               O4.5                 2 
hitter               F1                   2 
170                  N1                   2 
yards                H3                   2 
deck                 M3                   2 
enjoyment            E2+                  2 
3,4,5                N1                   2 
scared               E5-                  2 
flex                 O3                   2 
mallet               O2                   2 
intermediate         N5                   2 
denting              O4.4                 2 
tried_out            X2.4                 2 
6i                   Z99                  2 
negative             C1                   2 
took_out             M2                   2 
held_up              T4-                  2 
forgiving            G2.2+                2 
6'2                  Z99                  2 
dents                O4.4                 2 
players              K6                   2 
ton                  N3.5                 2 
flight               M5                   2 
looks_sharp          O4.4                 2 
4h                   Z99                  2 
joy                  E4.1+                2 
putt                 K5.1                 2 
straps               O2                   2 
carts                M3                   2 
benefit              S8+                  2 
pockets              B5                   2 
bent                 A2.1+                2 
spring               O2                   2 
so-called            A8                   2 
weigh                N3.5                 2 
cap                  P1                   2 
gauge                N3.1                 2 
welds                I4                   2 
body_weight          N3.5                 2 
workouts             K5.1                 2 
heavy_duty           O4.1                 2 
300                  N1                   2 
gyms                 K5.1                 2 
firm                 O4.5                 2 
width                N3.7                 2 
complete             T2-                  2 
as_such              A4.2+                2 
mat                  H5                   2 
bolt                 O2                   2 
looks_new            T3-                  2 
dips                 O4.4                 2 
versatile            A6.3+                2 
suggestion           Q2.2                 2 
falling_apart        A1.1.2               2 
6'1                  Z99                  2 
to_do_with           A2.2                 2 
wary                 A1.3+                2 
Allen                Z1                   2 
portion              N5                   2 
bolts                O2                   2 
closet               H5                   2 
nuts_and_bolts       A4.2+                2 
assembling           S5+                  2 
welding              I4                   2 
claiming             Q2.2                 2 
knockoffs            A6.1+                2 
lottery              K1                   2 
tries                X8+                  2 
bodice               B5                   2 
braided              A1.1.1               2 
Bambin_Elsa          Z1                   2 
Anna                 Z1                   2 
Elsa_Mattel          Z1                   2 
fulfilled            X9.2+                2 
this_morning         Z3                   2 
heels                B5                   2 
sheer                A14                  2 
overcoat             B5                   2 
flowing              M1                   2 
blond                O4.3                 2 
pulled               M2                   2 
tiara                B5                   2 
Princess_Elsa        Z1                   2 
let_go               A9-                  2 
except_for           A1.8-                2 
comingled            Z99                  2 
fba                  Z99                  2 
leads_to             A2.2                 2 
sending_out          M2                   2 
fraud                G2.1-                2 
china                O1.1                 2 
tie                  B5                   2 
belt                 B5                   2 
$14.99               Z99                  2 
Matell               Z99                  2 
curl                 O4.4                 2 
granddaughter        S4                   2 
Evan                 Z99                  2 
bald                 B1                   2 
1-2-3                N1                   2 
$29.99               Z99                  2 
Hasbro               Z99                  2 
modes                X4.2                 2 
character            S2                   2 
weapon               G3                   2 
bot                  B1                   2 
articulation         Q2.1                 2 
firing               I3.1-                2 
held_in              A10-                 2 
even                 A6.1+                2 
adult                T3+                  2 
lining               A1.1.1               2 
bumblebees           L2                   2 
4th                  N4                   2 
one-step             Z99                  2 
aligned              S5+                  2 
in_one_piece         N5.1+                2 
Made.                A1.1.1               2 
clip                 A1.1.1               2 
fold                 A1.1.1               2 
out_here             M6                   2 
self                 S5-                  2 
imaginative          X2.1                 2 
frustrated           E4.2-                2 
assistance           S8+                  2 
takes_away           M2                   2 
San_Francisco        Z2                   2 
giants               S2                   2 
mascot               L2                   2 
autobot              Z99                  2 
transformed          A2.1+                2 
op                   B3                   2 
robots               O3                   2 
hunk                 O2                   2 
interested           X5.2+                2 
success              X9.2+                2 
a_5_year_old         T3-                  2 
folded               A1.1.1               2 
delicious            X3.1+                1 
Egoiste              Z99                  1 
platinum             O1.1                 1 
masterpiece          C1                   1 
7-8h                 Z99                  1 
acquired             A9+                  1 
havent               Z99                  1 
Mont_Blonc           Z1                   1 
made_a_impression    O4.2+                1 
look_high            N3.7+                1 
compliment           S1.2.4+              1 
getter               A9+                  1 
azzaro               Z99                  1 
well.the             Z99                  1 
notes                Q2.1                 1 
lavender             L3                   1 
bergamont            Z99                  1 
lifestyle            S1.1.1               1 
hunt                 K5.1                 1 
aromatics            X3.5                 1 
February             T1.3                 1 
colony               M7                   1 
manipulated          A2.1+                1 
alcohol              F2                   1 
copy                 A5.4-                1 
legitimacy           G2.2+                1 
certifies            Q2.2                 1 
along                Z5                   1 
Macys                Z99                  1 
boyfriend            S3.2                 1 
'real'               Z99                  1 
fulfilled            E4.2+                1 
spice                F1                   1 
12+                  P1                   1 
alcoholic            F2                   1 
eau                  O1.2                 1 
toilette             B4                   1 
noticible            Z99                  1 
'fakes               Z99                  1 
worked_out           N2                   1 
awesomeness          Z99                  1 
grabber              A9+                  1 
maxim                X4.1                 1 
magazine             Q4.2                 1 
on_the_spot          N3.8+                1 
Amaizing             Z99                  1 
gifted               X9.1+                1 
stumbled             M1                   1 
ratings              A5.1                 1 
overbearing          S7.1+                1 
stays_on             T2++                 1 
Versace              Z1                   1 
mall                 I2.2                 1 
gentlemen            S2.2                 1 
commodities          O2                   1 
lifted               M2                   1 
flock                L2                   1 
geese                L2                   1 
as_hell              A13.3                1 
Fich                 Z99                  1 
malls                I2.2                 1 
semi-susceptible     Z99                  1 
headaches            B2-                  1 
handed               A9-                  1 
first_person         Q3                   1 
communication        Q2.1                 1 
wearing_off          T2-                  1 
half_a_dozen         N1                   1 
vanished             A10-                 1 
it.yes               Z99                  1 
good.okay            Z99                  1 
younkers             T3-                  1 
-Paul_Loitz          Z1                   1 
7-8                  N1                   1 
sprayer              O2                   1 
deparment            Z99                  1 
minutes.             T1.3                 1 
simliar              Z99                  1 
tottaly              Z99                  1 
dialated             Z99                  1 
eyed                 B1                   1 
perverted            A2.1+                1 
touched              X3.3                 1 
heard_about          X2.3+                1 
sprayed              A1.1.1               1 
foul                 K5.1                 1 
nozzle               O2                   1 
frat                 S5+                  1 
parfume              Z99                  1 
dept                 S5+                  1 
fades                O4.3                 1 
watered              F4                   1 
complements          N5.1+                1 
ex-wife              S4                   1 
dries                O1.2-                1 
discreet             A1.3+                1 
ideal                X4.1                 1 
night_out            K1                   1 
fruity               F1                   1 
bergamot/mint        Z99                  1 
avant-garde          T3---                1 
unisex               S2                   1 
lavendar             Z99                  1 
pineapple            L3                   1 
rose                 M1                   1 
oak                  O1.1                 1 
moss                 L3                   1 
tonka                Z99                  1 
bean                 F1                   1 
Carolina_Herrera     Z1                   1 
212                  N1                   1 
peppery              X3.1+                1 
edginess             E6-                  1 
repertoire           X9.1                 1 
sooooooo             Z99                  1 
fakeeeee             Z99                  1 
dissipates           N5-                  1 
reapplication        Z99                  1 
liberal              A1.7-                1 
1oz                  N3.5                 1 
department_store     I2.2                 1 
prepare              A1.1.1               1 
noticed.             X3.4+                1 
